"";"Data";"MunicipioChave";"Tipo";"Confirmados";"Mortes";"UltimaData";"PopulacaoEstimadaEm2019";"ConfirmadosACada100K";"PorcentagemMorte";"InformadoMunicipio";"_TipoFato";"Cluster"
"1221";2020-04-20;"4211702-SC";"city";3;0;"True";"22912";"13.09358";0;"S";"ATUAL";2
"1222";2020-04-20;"4211900-SC";"city";17;1;"True";"171797";"9.8954";0,0588;"S";"ATUAL";2
"1223";2020-04-20;"4212007-SC";"city";1;0;"True";"7423";"13.47164";0;"S";"ATUAL";2
"1224";2020-04-20;"4212205-SC";"city";2;0;"True";"19320";"10.35197";0;"S";"ATUAL";2
"1225";2020-04-20;"4212304-SC";"city";2;0;"True";"7494";"26.68802";0;"S";"ATUAL";2
"1226";2020-04-20;"4212403-SC";"city";2;1;"True";"3976";"50.30181";0,5;"S";"ATUAL";2
"1227";2020-04-20;"4212502-SC";"city";3;1;"True";"32531";"9.22197";0,3333;"S";"ATUAL";2
"1228";2020-04-20;"4212650-SC";"city";1;0;"True";"10091";"9.90982";0;"S";"ATUAL";2
"1229";2020-04-20;"4212809-SC";"city";2;0;"True";"23147";"8.64043";0;"S";"ATUAL";2
"1230";2020-04-20;"4213203-SC";"city";1;0;"True";"33447";"2.9898";0;"S";"ATUAL";2
"1231";2020-04-20;"4213500-SC";"city";5;1;"True";"21388";"23.37759";0,2;"S";"ATUAL";2
"1232";2020-04-20;"4213708-SC";"city";1;0;"True";"17453";"5.72967";0;"S";"ATUAL";2
"1233";2020-04-20;"4214300-SC";"city";2;0;"True";"2878";"69.4927";0;"S";"ATUAL";2
"1234";2020-04-20;"4214805-SC";"city";2;0;"True";"71061";"2.81448";0;"S";"ATUAL";2
"1235";2020-04-20;"4215000-SC";"city";1;0;"True";"42302";"2.36395";0;"S";"ATUAL";2
"1236";2020-04-20;"4215059-SC";"city";1;0;"True";"2483";"40.27386";0;"S";"ATUAL";2
"1237";2020-04-20;"4215455-SC";"city";2;0;"True";"12678";"15.77536";0;"S";"ATUAL";2
"1238";2020-04-20;"4215505-SC";"city";1;0;"True";"16830";"5.94177";0;"S";"ATUAL";2
"1239";2020-04-20;"4215604-SC";"city";0;0;"True";"2142";"93.37068";0;"S";"ATUAL";2
"1240";2020-04-20;"4215653-SC";"city";1;0;"True";"8358";"11.96458";0;"S";"ATUAL";2
"1241";2020-04-20;"4215703-SC";"city";2;0;"True";"23245";"8.604";0;"S";"ATUAL";2
